datetime,forecast,Номер скважины
1992-04-11,5.8952086289138945,0
1992-04-12,5.880959199563268,0
1992-04-13,5.866744212812604,0
1992-04-14,5.8525635854099285,0
1992-04-15,5.838417234304496,0
1992-04-16,5.824305076646305,0
1992-04-17,5.810227029785616,0
1992-04-18,5.7961830112724595,0
1992-04-19,5.782172938856159,0
1992-04-20,5.768196730484852,0
1992-04-21,5.754254304304999,0
1992-04-22,5.740345578660916,0
1992-04-23,5.726470472094286,0
1992-04-24,5.712628903343693,0
1992-04-25,5.698820791344134,0
1992-04-26,5.685046055226551,0
1992-04-27,5.6713046143173615,0
1992-04-28,5.657596388137974,0
1992-04-29,5.643921296404329,0
1992-04-30,5.6302792590264215,0
1992-05-01,5.616670196107833,0
1992-05-02,5.603094027945267,0
1992-05-03,5.589550675028075,0
1992-05-04,5.5760400580378,0
1992-05-05,5.5625620978477075,0
1992-05-06,5.549116715522318,0
1992-05-07,5.535703832316953,0
1992-05-08,5.522323369677268,0
1992-05-09,5.508975249238794,0
1992-05-10,5.495659392826476,0
1992-05-11,5.482375722454224,0
1992-05-12,5.469124160324445,0
1992-05-13,5.455904628827592,0
1992-05-14,5.442717050541712,0
1992-05-15,5.429561348231991,0
1992-05-16,5.4164374448503,0
1992-05-17,5.403345263534743,0
1992-05-18,5.390284727609212,0
1992-05-19,5.377255760582931,0
1992-05-20,5.364258286150015,0
1992-05-21,5.351292228189019,0
1992-05-22,5.338357510762489,0
1992-05-23,5.325454058116529,0
1992-05-24,5.312581794680341,0
1992-05-25,5.299740645065796,0
1992-05-26,5.286930534066985,0
1992-05-27,5.274151386659785,0
1992-05-28,5.26140312800141,0
1992-05-29,5.248685683429982,0
1992-05-30,5.235998978464089,0
1992-05-31,5.223342938802347,0
1992-06-01,5.210717490322972,0
1992-06-02,5.198122559083342,0
1992-06-03,5.185558071319557,0
1992-06-04,5.17302395344602,0
1992-06-05,5.160520132054995,0
1992-06-06,5.148046533916184,0
1992-06-07,5.135603085976296,0
1992-06-08,5.123189715358617,0
1992-06-09,5.110806349362585,0
1992-06-10,5.098452915463366,0
1992-06-11,5.086129341311427,0
1992-06-12,5.073835554732112,0
